"","journal","category2","journalimpactfactor","hindex","journalcountry","publisher","coverage","eigenfactorscore","whoregionjournal","unregionjournal","worldbankregionjournal","economicjournal","Genderinequalityindex2019","gender_unknown","gender_numerator","gender_denominator","unknown_denominator","gender_pct","unknown_pct","gender_neat","unknown_neat","AB_num","AB_den","AB_pct","AB_neat","EiC_num","EiC_den","EiC_pct","EiC_neat","EB_num","EB_den","EB_pct","EB_neat","EL_num","EL_den","EL_pct","EL_neat","EC_num","EC_den","EC_pct","EC_neat","WHO_AF_n","WHO_AF_pct","WHO_AF_neat","WHO_AM_n","WHO_AM_pct","WHO_AM_neat","WHO_EM_n","WHO_EM_pct","WHO_EM_neat","WHO_EU_n","WHO_EU_pct","WHO_EU_neat","WHO_SEA_n","WHO_SEA_pct","WHO_SEA_neat","WHO_unknown_n","WHO_unknown_pct","WHO_unknown_neat","WHO_WP_n","WHO_WP_pct","WHO_WP_neat","HIC_n","HIC_pct","HIC_neat","LIC_n","LIC_pct","LIC_neat","LMIC_n","LMIC_pct","LMIC_neat","eco_unknown_n","eco_unknown_pct","eco_unknown_neat","UMIC_n","UMIC_pct","UMIC_neat","WB_EAP_n","WB_EAP_pct","WB_EAP_neat","WB_ECA_n","WB_ECA_pct","WB_ECA_neat","WB_LAC_n","WB_LAC_pct","WB_LAC_neat","WB_MENA_n","WB_MENA_pct","WB_MENA_neat","WB_NA_n","WB_NA_pct","WB_NA_neat","WB_SA_n","WB_SA_pct","WB_SA_neat","WB_SSA_n","WB_SSA_pct","WB_SSA_neat","WB_unknown_n","WB_unknown_pct","WB_unknown_neat","UN_AF_n","UN_AF_pct","UN_AF_neat","UN_AP_n","UN_AP_pct","UN_AP_neat","UN_EE_n","UN_EE_pct","UN_EE_neat","UN_LAC_n","UN_LAC_pct","UN_LAC_neat","UN_unknown_n","UN_unknown_pct","UN_unknown_neat","UN_WEO_n","UN_WEO_pct","UN_WEO_neat"
"348","JOURNAL OF ATMOSPHERIC CHEMISTRY","Environment","1.521",70,"Netherlands","Springer Netherlands","1983-2020",0.00077,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",2,3,29,31,"10%","6%","10% (3)","6% (2)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","3","29","10.3%","10.3% (3)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"11","35.5%","35.5% (11)",NA,NA,NA,"10","32.3%","32.3% (10)","2","6.5%","6.5% (2)",NA,NA,NA,"8","25.8%","25.8% (8)","25","80.6%","80.6% (25)",NA,NA,NA,"2","6.5%","6.5% (2)",NA,NA,NA,"4","12.9%","12.9% (4)","8","25.8%","25.8% (8)","10","32.3%","32.3% (10)","1","3.2%","3.2% (1)",NA,NA,NA,"10","32.3%","32.3% (10)","2","6.5%","6.5% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","25.8%","25.8% (8)","1","3.2%","3.2% (1)","1","3.2%","3.2% (1)",NA,NA,NA,"21","67.7%","67.7% (21)"
"349","JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH","PEO Health","1.59",55,"United States","Springer New York","1996-2020",0.00187,"Americas","Western European and Other","North America","High-income",".204",0,12,26,26,"46%","0%","46% (12)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","12","26","46.2%","46.2% (12)","2","3","66.7%","66.7% (2)",NA,NA,NA,NA,NA,NA,NA,"26","100.0%","100.0% (26)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","100.0%","100.0% (26)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","100.0%","100.0% (26)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","100.0%","100.0% (26)"
"350","JOURNAL OF CANCER EDUCATION","PEO Health","1.576",43,"United States","Springer Publishing Company","1986-2020",0.00378,"Americas","Western European and Other","North America","High-income",".204",0,47,81,81,"58%","0%","58% (47)","0% (0)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","47","81","58.0%","58.0% (47)","9","22","40.9%","40.9% (9)",NA,NA,NA,NA,NA,NA,NA,"69","85.2%","85.2% (69)",NA,NA,NA,"10","12.3%","12.3% (10)",NA,NA,NA,NA,NA,NA,"2","2.5%","2.5% (2)","81","100.0%","100.0% (81)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2.5%","2.5% (2)","9","11.1%","11.1% (9)",NA,NA,NA,"1","1.2%","1.2% (1)","69","85.2%","85.2% (69)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","100.0%","100.0% (81)"
"351","JOURNAL OF CLEANER PRODUCTION","Environment","7.246",200,"United Kingdom","Elsevier Ltd.","1993-2021",0.1291,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,20,105,105,"20%","0%","20% (20)","0% (0)",NA,NA,NA,NA,"1","3","33.3%","33.3% (1)","20","105","19.0%","19.0% (20)","3","10","30.0%","30.0% (3)","4","16","25.0%","25.0% (4)","1","1.0%","1.0% (1)","17","16.2%","16.2% (17)",NA,NA,NA,"42","40.0%","40.0% (42)","3","2.9%","2.9% (3)",NA,NA,NA,"42","40.0%","40.0% (42)","57","54.3%","54.3% (57)",NA,NA,NA,"4","3.8%","3.8% (4)",NA,NA,NA,"44","41.9%","41.9% (44)","43","41.0%","41.0% (43)","42","40.0%","40.0% (42)","6","5.7%","5.7% (6)",NA,NA,NA,"11","10.5%","10.5% (11)","2","1.9%","1.9% (2)","1","1.0%","1.0% (1)",NA,NA,NA,"1","1.0%","1.0% (1)","41","39.0%","39.0% (41)","10","9.5%","9.5% (10)","6","5.7%","5.7% (6)",NA,NA,NA,"47","44.8%","44.8% (47)"
"352","Journal of Clinical Epidemiology","PEO Health","4.952",212,"United States","Elsevier USA","1988-2020",0.02846,"Americas","Western European and Other","North America","High-income",".204",4,11,39,43,"28%","9%","28% (11)","9% (4)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","11","39","28.2%","28.2% (11)","2","8","25.0%","25.0% (2)",NA,NA,NA,NA,"1","2.3%","2.3% (1)","19","44.2%","44.2% (19)","1","2.3%","2.3% (1)","12","27.9%","27.9% (12)","1","2.3%","2.3% (1)",NA,NA,NA,"9","20.9%","20.9% (9)","34","79.1%","79.1% (34)","1","2.3%","2.3% (1)","4","9.3%","9.3% (4)",NA,NA,NA,"4","9.3%","9.3% (4)","9","20.9%","20.9% (9)","12","27.9%","27.9% (12)","3","7.0%","7.0% (3)","1","2.3%","2.3% (1)","16","37.2%","37.2% (16)","1","2.3%","2.3% (1)","1","2.3%","2.3% (1)",NA,NA,NA,"1","2.3%","2.3% (1)","7","16.3%","16.3% (7)",NA,NA,NA,"3","7.0%","7.0% (3)",NA,NA,NA,"32","74.4%","74.4% (32)"
"353","JOURNAL OF COASTAL CONSERVATION","Environment","1.374",39,"Netherlands","Springer Netherlands","1995-2004, 2007-2020",0.00122,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",0,2,16,16,"12%","0%","12% (2)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","2","16","12.5%","12.5% (2)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"3","18.8%","18.8% (3)",NA,NA,NA,"11","68.8%","68.8% (11)","1","6.2%","6.2% (1)",NA,NA,NA,"1","6.2%","6.2% (1)","14","87.5%","87.5% (14)",NA,NA,NA,"1","6.2%","6.2% (1)",NA,NA,NA,"1","6.2%","6.2% (1)","1","6.2%","6.2% (1)","11","68.8%","68.8% (11)",NA,NA,NA,NA,NA,NA,"3","18.8%","18.8% (3)","1","6.2%","6.2% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","6.2%","6.2% (1)","1","6.2%","6.2% (1)",NA,NA,NA,NA,NA,NA,"14","87.5%","87.5% (14)"
"354","JOURNAL OF COMMUNITY HEALTH","PEO Health","1.516",63,"Netherlands","Springer Netherlands","1975-2020",0.00513,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",0,9,20,20,"44%","0%","44% (9)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","9","20","45.0%","45.0% (9)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"20","100.0%","100.0% (20)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","100.0%","100.0% (20)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","100.0%","100.0% (20)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","100.0%","100.0% (20)"
"355","JOURNAL OF COMMUNITY PSYCHOLOGY","PEO Health","1.106",25,"United States","SAGE Publications Inc.","1994-2020",3164,"Americas","Western European and Other","North America","High-income",".204",2,43,93,95,"46%","2%","46% (43)","2% (2)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","43","93","46.2%","46.2% (43)","3","10","30.0%","30.0% (3)","22","28","78.6%","78.6% (22)","3","3.2%","3.2% (3)","75","78.9%","78.9% (75)","2","2.1%","2.1% (2)","4","4.2%","4.2% (4)",NA,NA,NA,NA,NA,NA,"11","11.6%","11.6% (11)","81","85.3%","85.3% (81)",NA,NA,NA,"4","4.2%","4.2% (4)","1","1.1%","1.1% (1)","9","9.5%","9.5% (9)","11","11.6%","11.6% (11)","3","3.2%","3.2% (3)","1","1.1%","1.1% (1)","3","3.2%","3.2% (3)","74","77.9%","77.9% (74)",NA,NA,NA,"3","3.2%","3.2% (3)",NA,NA,NA,"4","4.2%","4.2% (4)","9","9.5%","9.5% (9)",NA,NA,NA,"1","1.1%","1.1% (1)",NA,NA,NA,"81","85.3%","85.3% (81)"
"356","JOURNAL OF CONTAMINANT HYDROLOGY","Environment","2.347",100,"Netherlands","Elsevier","1986-2020",0.00374,"Europe","Western European and Other","Europe and Central Asia","High-income",".043",6,6,67,73,"8%","8%","8% (6)","8% (6)",NA,NA,NA,NA,"1","4","25.0%","25.0% (1)","6","67","9.0%","9.0% (6)","1","4","25.0%","25.0% (1)",NA,NA,NA,NA,NA,NA,NA,"39","53.4%","53.4% (39)",NA,NA,NA,"24","32.9%","32.9% (24)",NA,NA,NA,NA,NA,NA,"10","13.7%","13.7% (10)","69","94.5%","94.5% (69)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","5.5%","5.5% (4)","10","13.7%","13.7% (10)","22","30.1%","30.1% (22)",NA,NA,NA,"2","2.7%","2.7% (2)","39","53.4%","53.4% (39)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","11.0%","11.0% (8)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","89.0%","89.0% (65)"
"357","Journal of Correctional Health Care","PEO Health","1.058",25,"United States","SAGE Publications Inc.","1994-2020",0.00083,"Americas","Western European and Other","North America","High-income",".204",0,6,19,19,"32%","0%","32% (6)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","6","19","31.6%","31.6% (6)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"19","100.0%","100.0% (19)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","100.0%","100.0% (19)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","100.0%","100.0% (19)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","100.0%","100.0% (19)"
"358","Journal of Developmental Origins of Health and Disease","PEO Health","2.456",34,"United Kingdom","Cambridge University Press","2010-2020",0.00298,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,23,59,59,"38%","0%","38% (23)","0% (0)","1","5","20.0%","20.0% (1)","0","1","0.0%","0.0% (0)","22","54","40.7%","40.7% (22)","12","23","52.2%","52.2% (12)",NA,NA,NA,NA,"1","1.7%","1.7% (1)","30","50.8%","50.8% (30)",NA,NA,NA,"14","23.7%","23.7% (14)","1","1.7%","1.7% (1)",NA,NA,NA,"13","22.0%","22.0% (13)","52","88.1%","88.1% (52)","1","1.7%","1.7% (1)",NA,NA,NA,NA,NA,NA,"6","10.2%","10.2% (6)","14","23.7%","23.7% (14)","14","23.7%","23.7% (14)","6","10.2%","10.2% (6)",NA,NA,NA,"24","40.7%","40.7% (24)",NA,NA,NA,"1","1.7%","1.7% (1)",NA,NA,NA,"1","1.7%","1.7% (1)","4","6.8%","6.8% (4)",NA,NA,NA,"6","10.2%","10.2% (6)",NA,NA,NA,"48","81.4%","81.4% (48)"
"359","Journal of Elementology","Environment",".71",23,"Poland",NA,"2008-2020",0.00074,"Europe","Eastern European","Europe and Central Asia","High-income",".115",3,24,51,54,"48%","6%","48% (24)","6% (3)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","24","51","47.1%","47.1% (24)","7","22","31.8%","31.8% (7)",NA,NA,NA,NA,NA,NA,NA,"3","5.6%","5.6% (3)","2","3.7%","3.7% (2)","49","90.7%","90.7% (49)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"52","96.3%","96.3% (52)",NA,NA,NA,"2","3.7%","3.7% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"49","90.7%","90.7% (49)",NA,NA,NA,"1","1.9%","1.9% (1)","3","5.6%","5.6% (3)","1","1.9%","1.9% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3.7%","3.7% (2)","40","74.1%","74.1% (40)",NA,NA,NA,NA,NA,NA,"12","22.2%","22.2% (12)"
"360","Journal of Environment & Development","Environment","1.844",42,"United States","SAGE Publications Inc.","1992-2020",0.00062,"Americas","Western European and Other","North America","High-income",".204",0,11,37,37,"30%","0%","30% (11)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","11","37","29.7%","29.7% (11)","4","8","50.0%","50.0% (4)",NA,NA,NA,NA,"3","8.1%","8.1% (3)","22","59.5%","59.5% (22)",NA,NA,NA,"7","18.9%","18.9% (7)","2","5.4%","5.4% (2)",NA,NA,NA,"3","8.1%","8.1% (3)","28","75.7%","75.7% (28)",NA,NA,NA,"4","10.8%","10.8% (4)",NA,NA,NA,"5","13.5%","13.5% (5)","4","10.8%","10.8% (4)","7","18.9%","18.9% (7)","3","8.1%","8.1% (3)",NA,NA,NA,"19","51.4%","51.4% (19)","1","2.7%","2.7% (1)","3","8.1%","8.1% (3)",NA,NA,NA,"3","8.1%","8.1% (3)","5","13.5%","13.5% (5)",NA,NA,NA,"3","8.1%","8.1% (3)",NA,NA,NA,"26","70.3%","70.3% (26)"
"361","JOURNAL OF ENVIRONMENTAL BIOLOGY","Environment",".781",48,"India","Triveni Enterprises","1988-2020",0.00129,"South-East Asia","Asia and Pacific","South Asia","Lower-middle-income",".488",10,6,30,40,"20%","25%","20% (6)","25% (10)","0","3","0.0%","0.0% (0)","0","0","NA","NA (0)","6","27","22.2%","22.2% (6)","0","0","NA","NA (0)",NA,NA,NA,NA,NA,NA,NA,"4","10.0%","10.0% (4)",NA,NA,NA,"5","12.5%","12.5% (5)","29","72.5%","72.5% (29)",NA,NA,NA,"2","5.0%","5.0% (2)","6","15.0%","15.0% (6)",NA,NA,NA,"29","72.5%","72.5% (29)",NA,NA,NA,"5","12.5%","12.5% (5)","2","5.0%","5.0% (2)","5","12.5%","12.5% (5)","2","5.0%","5.0% (2)",NA,NA,NA,"2","5.0%","5.0% (2)","29","72.5%","72.5% (29)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","77.5%","77.5% (31)","1","2.5%","2.5% (1)","2","5.0%","5.0% (2)",NA,NA,NA,"6","15.0%","15.0% (6)"
"362","Journal of Environmental Economics and Management","Environment","3.449",119,"United States","Academic Press Inc.","1974-2020",0.00739,"Americas","Western European and Other","North America","High-income",".204",1,13,64,65,"20%","2%","20% (13)","2% (1)",NA,NA,NA,NA,"0","2","0.0%","0.0% (0)","13","64","20.3%","20.3% (13)","2","10","20.0%","20.0% (2)",NA,NA,NA,NA,NA,NA,NA,"44","67.7%","67.7% (44)",NA,NA,NA,"19","29.2%","29.2% (19)","1","1.5%","1.5% (1)",NA,NA,NA,"1","1.5%","1.5% (1)","63","96.9%","96.9% (63)",NA,NA,NA,"1","1.5%","1.5% (1)",NA,NA,NA,"1","1.5%","1.5% (1)","1","1.5%","1.5% (1)","19","29.2%","29.2% (19)","1","1.5%","1.5% (1)",NA,NA,NA,"43","66.2%","66.2% (43)","1","1.5%","1.5% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","3.1%","3.1% (2)",NA,NA,NA,"1","1.5%","1.5% (1)",NA,NA,NA,"62","95.4%","95.4% (62)"
"363","Journal of Environmental Education","Environment","2.103",56,"United Kingdom","Taylor and Francis Ltd.","1971-2020",0.001,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,23,35,35,"66%","0%","66% (23)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","23","35","65.7%","65.7% (23)","3","5","60.0%","60.0% (3)",NA,NA,NA,NA,NA,NA,NA,"21","60.0%","60.0% (21)",NA,NA,NA,"6","17.1%","17.1% (6)","1","2.9%","2.9% (1)",NA,NA,NA,"7","20.0%","20.0% (7)","33","94.3%","94.3% (33)",NA,NA,NA,"1","2.9%","2.9% (1)",NA,NA,NA,"1","2.9%","2.9% (1)","7","20.0%","20.0% (7)","5","14.3%","14.3% (5)","1","2.9%","2.9% (1)","1","2.9%","2.9% (1)","20","57.1%","57.1% (20)","1","2.9%","2.9% (1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8.6%","8.6% (3)",NA,NA,NA,"1","2.9%","2.9% (1)",NA,NA,NA,"31","88.6%","88.6% (31)"
"364","JOURNAL OF ENVIRONMENTAL ENGINEERING","Environment","1.264",8,"Japan","Architectural Institute of Japan","2008-2020",0.00237,"Western Pacific","Asia and Pacific","East Asia and Pacific","High-income",".094",1,12,43,44,"28%","2%","28% (12)","2% (1)",NA,NA,NA,NA,"1","4","25.0%","25.0% (1)","12","43","27.9%","27.9% (12)","2","9","22.2%","22.2% (2)","3","10","30.0%","30.0% (3)",NA,NA,NA,"13","29.5%","29.5% (13)","2","4.5%","4.5% (2)","11","25.0%","25.0% (11)","1","2.3%","2.3% (1)",NA,NA,NA,"17","38.6%","38.6% (17)","29","65.9%","65.9% (29)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","34.1%","34.1% (15)","18","40.9%","40.9% (18)","11","25.0%","25.0% (11)","8","18.2%","18.2% (8)","2","4.5%","4.5% (2)","5","11.4%","11.4% (5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","43.2%","43.2% (19)",NA,NA,NA,"8","18.2%","18.2% (8)",NA,NA,NA,"17","38.6%","38.6% (17)"
"365","Journal of Environmental Engineering and Landscape Management","Environment","2.733",28,"Lithuania","Vilnius Gediminas Technical University","2004-2020",0.00056,"Europe","Eastern European","Europe and Central Asia","High-income",".124",2,15,51,53,"30%","4%","30% (15)","4% (2)","1","6","16.7%","16.7% (1)","0","1","0.0%","0.0% (0)","14","45","31.1%","31.1% (14)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"4","7.5%","7.5% (4)",NA,NA,NA,"43","81.1%","81.1% (43)","2","3.8%","3.8% (2)",NA,NA,NA,"4","7.5%","7.5% (4)","40","75.5%","75.5% (40)",NA,NA,NA,"3","5.7%","5.7% (3)",NA,NA,NA,"10","18.9%","18.9% (10)","4","7.5%","7.5% (4)","42","79.2%","79.2% (42)",NA,NA,NA,"1","1.9%","1.9% (1)","4","7.5%","7.5% (4)","2","3.8%","3.8% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","11.3%","11.3% (6)","25","47.2%","47.2% (25)",NA,NA,NA,NA,NA,NA,"22","41.5%","41.5% (22)"
"366","Journal of Environmental Health Science and Engineering","Environment","2.179",45,"Switzerland","Springer International Publishing AG","2012-2020",0.00195,"Europe","Western European and Other","Europe and Central Asia","High-income",NA,2,4,24,26,"16%","8%","16% (4)","8% (2)",NA,NA,NA,NA,"1","1","100.0%","100.0% (1)","4","24","16.7%","16.7% (4)","4","10","40.0%","40.0% (4)",NA,NA,NA,NA,NA,NA,NA,"2","7.7%","7.7% (2)","22","84.6%","84.6% (22)","1","3.8%","3.8% (1)",NA,NA,NA,NA,NA,NA,"1","3.8%","3.8% (1)","3","11.5%","11.5% (3)",NA,NA,NA,"22","84.6%","84.6% (22)",NA,NA,NA,"1","3.8%","3.8% (1)","1","3.8%","3.8% (1)","1","3.8%","3.8% (1)",NA,NA,NA,"22","84.6%","84.6% (22)","2","7.7%","7.7% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","3.8%","3.8% (1)","22","84.6%","84.6% (22)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","11.5%","11.5% (3)"
"367","Journal of Environmental Informatics","Environment","4.604",31,"Canada","International Society for Environmental Information Sciences","2007-2020",0.00081,"Americas","Western European and Other","North America","High-income",".08",0,4,29,29,"14%","0%","14% (4)","0% (0)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","4","29","13.8%","13.8% (4)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"17","58.6%","58.6% (17)",NA,NA,NA,"3","10.3%","10.3% (3)","1","3.4%","3.4% (1)",NA,NA,NA,"8","27.6%","27.6% (8)","23","79.3%","79.3% (23)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","20.7%","20.7% (6)","9","31.0%","31.0% (9)","3","10.3%","10.3% (3)",NA,NA,NA,NA,NA,NA,"17","58.6%","58.6% (17)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","27.6%","27.6% (8)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","72.4%","72.4% (21)"
"368","Journal of Environmental Law","Environment","1.633",28,"United Kingdom","Oxford University Press","1989-2020",0.00056,"Europe","Western European and Other","Europe and Central Asia","High-income",".118",0,17,33,33,"52%","0%","52% (17)","0% (0)","5","14","35.7%","35.7% (5)","1","1","100.0%","100.0% (1)","12","19","63.2%","63.2% (12)","1","1","100.0%","100.0% (1)",NA,NA,NA,NA,"1","3.0%","3.0% (1)","1","3.0%","3.0% (1)",NA,NA,NA,"26","78.8%","78.8% (26)",NA,NA,NA,NA,NA,NA,"5","15.2%","15.2% (5)","31","93.9%","93.9% (31)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","6.1%","6.1% (2)","5","15.2%","15.2% (5)","26","78.8%","78.8% (26)",NA,NA,NA,NA,NA,NA,"1","3.0%","3.0% (1)",NA,NA,NA,"1","3.0%","3.0% (1)",NA,NA,NA,"1","3.0%","3.0% (1)","3","9.1%","9.1% (3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","87.9%","87.9% (29)"
"369","JOURNAL OF ENVIRONMENTAL MANAGEMENT","Environment","5.647",179,"United States","Academic Press Inc.","1970, 1973, 1975, 1977-2021",0.04523,"Americas","Western European and Other","North America","High-income",".204",7,9,54,61,"16%","11%","16% (9)","11% (7)",NA,NA,NA,NA,"0","3","0.0%","0.0% (0)","9","54","16.7%","16.7% (9)","6","21","28.6%","28.6% (6)",NA,NA,NA,NA,"4","6.6%","6.6% (4)","14","23.0%","23.0% (14)","1","1.6%","1.6% (1)","18","29.5%","29.5% (18)","1","1.6%","1.6% (1)",NA,NA,NA,"23","37.7%","37.7% (23)","41","67.2%","67.2% (41)",NA,NA,NA,"1","1.6%","1.6% (1)",NA,NA,NA,"19","31.1%","31.1% (19)","23","37.7%","37.7% (23)","18","29.5%","29.5% (18)","1","1.6%","1.6% (1)","1","1.6%","1.6% (1)","13","21.3%","21.3% (13)","1","1.6%","1.6% (1)","4","6.6%","6.6% (4)",NA,NA,NA,"4","6.6%","6.6% (4)","20","32.8%","32.8% (20)",NA,NA,NA,"1","1.6%","1.6% (1)",NA,NA,NA,"36","59.0%","59.0% (36)"
"370","Journal of Environmental Protection and Ecology","Environment",".6919999999999999",20,"Bulgaria","Scibulcom Ltd.","2008-2020",5e-04,"Europe","Eastern European","Europe and Central Asia","Upper-middle-income",".206",7,8,38,45,"22%","16%","22% (8)","16% (7)",NA,NA,NA,NA,"0","1","0.0%","0.0% (0)","8","38","21.1%","21.1% (8)","1","12","8.3%","8.3% (1)",NA,NA,NA,NA,NA,NA,NA,"2","4.4%","4.4% (2)",NA,NA,NA,"43","95.6%","95.6% (43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"24","53.3%","53.3% (24)",NA,NA,NA,"1","2.2%","2.2% (1)",NA,NA,NA,"20","44.4%","44.4% (20)",NA,NA,NA,"43","95.6%","95.6% (43)",NA,NA,NA,NA,NA,NA,"2","4.4%","4.4% (2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","44.4%","44.4% (20)",NA,NA,NA,NA,NA,NA,"25","55.6%","55.6% (25)"
"371","Journal of Environmental Psychology","Environment","3.301",137,"United States","Academic Press Inc.","1981-2020",0.00841,"Americas","Western European and Other","North America","High-income",".204",0,21,72,72,"30%","0%","30% (21)","0% (0)","19","67","28.4%","28.4% (19)","0","1","0.0%","0.0% (0)","2","5","40.0%","40.0% (2)","0","1","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"42","58.3%","58.3% (42)",NA,NA,NA,"24","33.3%","33.3% (24)",NA,NA,NA,NA,NA,NA,"6","8.3%","8.3% (6)","71","98.6%","98.6% (71)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1.4%","1.4% (1)","6","8.3%","8.3% (6)","24","33.3%","33.3% (24)","1","1.4%","1.4% (1)",NA,NA,NA,"41","56.9%","56.9% (41)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","2.8%","2.8% (2)",NA,NA,NA,"1","1.4%","1.4% (1)",NA,NA,NA,"69","95.8%","95.8% (69)"
"372","JOURNAL OF ENVIRONMENTAL QUALITY","Environment","2.142",171,"United States","ASA/CSSA/SSSA","1972-2020",0.00701,"Americas","Western European and Other","North America","High-income",".204",1,16,61,62,"26%","2%","26% (16)","2% (1)",NA,NA,NA,NA,"0","3","0.0%","0.0% (0)","16","61","26.2%","26.2% (16)","0","4","0.0%","0.0% (0)",NA,NA,NA,NA,NA,NA,NA,"40","64.5%","64.5% (40)","1","1.6%","1.6% (1)","14","22.6%","22.6% (14)",NA,NA,NA,NA,NA,NA,"7","11.3%","11.3% (7)","58","93.5%","93.5% (58)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","6.5%","6.5% (4)","7","11.3%","11.3% (7)","12","19.4%","19.4% (12)",NA,NA,NA,"3","4.8%","4.8% (3)","40","64.5%","64.5% (40)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","8.1%","8.1% (5)","2","3.2%","3.2% (2)",NA,NA,NA,NA,NA,NA,"55","88.7%","88.7% (55)"
